Article,What does it conceptualize?,Usual modeling characteristics,Is it a statistically validated measure?,Scale Name,Parent Scale,Sub Scale,Scale / Item,Text of the item,"Is it reverse coded 
or transformed?",Does this item potentially contain identifying information?,Type of scale,Scoring,Type of data,Time Stem,Top-level question,Anchors/answers or mapping/representation (numeric),Anchors/answers or mapping/representation (nominal),Delivery mechanism,How frequently is it delivered?,Citation,Notes,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,conceptualizes key personal and treatment-related factors that influence how clients engage with and benefit from substance use treatment.,,1,Client Evaluation of Self and Treatment,NA,NA,Scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Institute of Behavioral Research. (2007). TCU Treatment Needs and Motivation (TCU MOTForm). Fort Worth: Texas Christian University, Institute of Behavioral Research. Available at ibr.tcu.edu",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,What is your current legal status?,0,0,multiple choice,logistic regression,nominal,NA,NA,NA,"none, on probation only, on parole only, on probation and praole, awaiting charge, trial or sentence, outstanding warrant, case pending, other",,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,Whether or not patients consider themselves to be in recovery.,,0,Recover,NA,NA,Scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Kelly JF, Fallah-Sohy N, Cristello J, Stout RL, Jason LA, Hoeppner BB. Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation. J Subst Abuse Treat. 2021 May;124:108287. doi: 10.1016/j.jsat.2021.108287. Epub 2021 Jan 13. PMID: 33771284; PMCID: PMC8004554.",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Would you describe yourself as being in recovery?,NA,0,multiple choice,logistic regression,nominal,NA,NA,NA,yes/no,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,Which drugs the participant has taken and which ones are taken regularly.,,0,Substance Use,NA,NA,Scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Kelly JF, Fallah-Sohy N, Cristello J, Stout RL, Jason LA, Hoeppner BB. Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation. J Subst Abuse Treat. 2021 May;124:108287. doi: 10.1016/j.jsat.2021.108287. Epub 2021 Jan 13. PMID: 33771284; PMCID: PMC8004554.",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Alcohol 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Marijuana 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Cocaine 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Heroin 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Unprescribed methadone 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Unprescribed buprenorphine 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Unrpescribed other opioids 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Hallucinogens 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Synthethic Marijuana 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Amphetamine 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Methamphetamine 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Benzodiazepines 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Barbiturates 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Inhalants 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Steroids 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Tobacco 10+ times?,NA,0,multiple choice,logistic regression,nominal,In your lifetime __,Have you ever used __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Alcohol regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Marijuana regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Cocaine regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Heroin regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Unprescribed methadone regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Unprescribed buprenorphine regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Unrpescribed other opioids regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Hallucinogens regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Synthethic Marijuana regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Amphetamine regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Methamphetamine regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Benzodiazepines regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Barbiturates regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Inhalants regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Steroids regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Tobacco regularly (at least once per week)?,NA,0,multiple choice,logistic regression,nominal,NA,Do you use __,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,"Of the substances that you have used, which was the primary substance that you used?",NA,0,free text,logistic regression,nominal,NA,NA,NA,answer could be any drug name,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,The mental health diagnoses of research participants,,0,Mental Health,NA,NA,Scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Kelly JF, Fallah-Sohy N, Cristello J, Stout RL, Jason LA, Hoeppner BB. Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation. J Subst Abuse Treat. 2021 May;124:108287. doi: 10.1016/j.jsat.2021.108287. Epub 2021 Jan 13. PMID: 33771284; PMCID: PMC8004554.",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,,,,Item,"Has a doctor, nurse, or counselor ever told you that you have a mental or psychological condition?",NA,0,multiple choice,logistic regression,nominal,NA,NA,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,,,,Item,"If yes to the previous question, select which mental or psychological conditions.",NA,0,multiple choice,logistic regression,nominal,NA,NA,NA,"Bipolar I or II, Dysthymic Disorder, Major Depressive Disorder, Agoraphobia, Generalized Anxiety Disorder, Obsessive-Compulsive Disorder, Panic Disorder, Post-Traumatic Stress Disorder, Social Anxiety Disorder, Specific Phobia, Anorexia Nervosa, Bulimia Nervosa, Delusional Disorder, Personality Disorder, Schizoaffective Disorder, Schizophrenia",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,,,,Item,Have you ever been treated in an emergency room for mental health problems in your lifetime?,NA,0,multiple choice,logistic regression,ordinal,NA,NA,# of times,NA,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,What kinds of recovery services have been used by research participant.,,0,Utilization of addiction and recovery services,NA,NA,scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Kelly JF, Fallah-Sohy N, Cristello J, Stout RL, Jason LA, Hoeppner BB. Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation. J Subst Abuse Treat. 2021 May;124:108287. doi: 10.1016/j.jsat.2021.108287. Epub 2021 Jan 13. PMID: 33771284; PMCID: PMC8004554.",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,Which of the following addiction services you have participated in?,NA,0,multiple select,logistic regression,nominal,NA,NA,NA,"Detox, inpatient, outpatient, sober living environment, recovery high school, college recovery program, faith-based recovery services",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,Which of the following mutual-help organizations have you ever used?,NA,0,multiple select,logistic regression,nominal,NA,NA,NA,"Alcholics Anonymous, Narcotics Anonymous, Marijuana Anonymous, Cocaine Anonymous, Crystal Methamphetamine Anonymous, SMART Recovery, LifeRing Secular Recovery, Moderation Management, Celebrate Recovery, Women for Sobriety, Secular Organization for Sobriety, Dual Diagnosis Anonymous",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Of the mutual-help organizations you identified having used, have you attended in the past 90 days?",NA,0,multiple choice,logistic regression,nominal,NA,NA,NA,yes/no,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,research particpants experiences with recovery community centers and their accesibility to them.,,0,RCC experience,NA,NA,scale,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,What is your made method of transportation?,NA,0,multiple choice,logistic regression,nominal,NA,NA,NA,"walk, drive, public transport",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,How long does it take you to travel to your RCC?,NA,0,time picker,logistic regression,ordinal,NA,NA,# of minutes,NA,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,How were you referred to your RCC?,NA,0,multiple choice,logistic regression,nominal,NA,NA,NA,"family and friends, SUD treatment (detox, outpatient, inpatient), housing and social services (sober living, shelter, including DSS). RCC outreach (street outreach, internet, pamphlets, community events, ads), Health care (PCP, ED), other (employer, 12-step, church, academic, prison)",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,How long has it been since you first started attending a RCC?,NA,0,time picker,logistic regression,ordinal,NA,NA,# of years,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,The services that recovery community centers offer to those in recovery and whther of not those in recovery used these provided services.,,0,RCC services,NA,NA,Scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Kelly, J. F., Fallah-Sohy, N., Vilsaint, C., Hoffman, L. A., Jason, L. A., Stout, R. L., Cristello, J. V., & Hoeppner, B. B. (2020). New kid on the block: An investigation of the physical, operational, personnel, and service characteristics of recovery community centers in the United States. Journal of Substance Abuse Treatment, 111, 1–10. doi:https://doi.org/10.1016/j.jsat.2019.12.009.",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"""All recovery"" meetings",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Mutual-help groups by known organizations (e.g., Alcholics Anonymous)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Other peer-facilitated recovery support groups (e.g., relapse prevention groups)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Mental health support (e.g., dual diagnosis support groups)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,recovery coaching (and/or case management),NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Medication-assisted treatment (MAT) support (e.g., Pathway Guide, MARS group)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,NARCAN training and/or distribution,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Provision of access to technology/internet (e.g., use of center computers, printers, fax)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Basic needs assistance (e.g., access to food, clothing, transportation)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,childcare services,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,Education assistance,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Employment assistance (e.g., job or computer skills, resume writing, CORI support)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Family support services (e.g., family/parent education or support groups)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,financial services,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,Health insurance education,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,Housing assistance,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,Legal assistance,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,Assistance with health behaviors,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Health, exercise, and nutrition programs (e.g., yoga, meditation, fitness classes)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,smoking cessation support,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,Facilitation of substance-free recreational activities,NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Recreational/social activities (e.g., substance free social events)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,item,"Expressive arts (e.g., arts/crafts groups, music, poetry)",NA,0,multiple choice,logistic regression,nominal,NA,"Did you use this service, and if so, how helpful was it to you?",1-7.,"1. = not helpful at all, 4 = moderately helpful, 7 = extremely helpful",,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,Last time using drugs and if participant is sober at time of survey.,,0,Substance Use,NA,NA,Scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Kelly JF, Fallah-Sohy N, Cristello J, Stout RL, Jason LA, Hoeppner BB. Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation. J Subst Abuse Treat. 2021 May;124:108287. doi: 10.1016/j.jsat.2021.108287. Epub 2021 Jan 13. PMID: 33771284; PMCID: PMC8004554.",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,Are you currently abstinent from all substances?,NA,0,multiple choice,logistic regression,nominal,NA,NA,NA,yes/no,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,"To the best of your knowledge, what is the date that you last used ANY type of drug (including alcohol)?",NA,0,time picker,logistic regression,nominal,NA,NA,NA,answer is a date,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,"""Recovery capital represents the quantity and quality of internal and external resources that can be brought to bear to initiate and sustain recovery from SUD.""",,1,Brief Assessment of Recovery Capital Scale,NA,NA,Scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Corrie L. Vilsaint, John F. Kelly, Brandon G. Bergman, Teodora Groshkova, David Best, William White,
Development and validation of a Brief Assessment of Recovery Capital (BARC-10) for alcohol and drug use disorder, Drug and Alcohol Dependence, Volume 177, 2017, Pages 71-76, ISSN 0376-8716, https://doi.org/10.1016/j.drugalcdep.2017.03.022.",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,There are more important things to me in life than using substances.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,In general I am happy with my life.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,I have enough energy to complete the tasks I set for myself.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,I am proud of the community I live in and feel a part of it.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,I get lots of support from friends.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,I regard my life as challenging and fulfilling without the need for using drugs or alcohol.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,My living space has helped drive my recovery journey.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,I take full responsibility for my actions.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,I am happy dealing with a range of professional people.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,NA,,,Item,I am making good progess on my recovery journey.,0,0,multiple choice,logistic regression,nominal,NA,NA,1-6.,"1. = strongly disagree, 6 = strongly agree",,,,,
,,,,,,,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,the client's internal states and treatment related experiences that predict treatment retention and outcomes.,,1,Client Evaluation of Self and Treatment,NA,"Desire for help, treatment readiness, treatment needs, self esteem, depression, anxiety, decision making, self-efficacy, hostility, risk taking, social consciousness, treatment satisfaction, counseling rapport, treatment participation, peer support, social support",Scale,,,,,,,,,,,survey,"twice, baseline and 3 month followup","Institute of Behavioral Research. (2007). TCU Treatment Needs and Motivation (TCU MOTForm). Fort Worth: Texas Christian University, Institute of Behavioral Research. Available at ibr.tcu.edu",,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,desire for help,Client Evaluation of Self and Treatment,NA,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,treatment readiness,Client Evaluation of Self and Treatment,NA,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,treatment needs,Client Evaluation of Self and Treatment,NA,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,self esteem,Client Evaluation of Self and Treatment,NA,,,,,,,,,,,,,,,,
Recovery community centers: Characteristics of new attendees and longitudinal investigation of the predictors and effects of participation,,,,depression,Client Evaluation of Self and Treatment,NA,,,,,,,,,,,,,,,,
